accession	strain
AB936560	933-Yamagata-2013
AB936561	1437-Yamagata-2013
AB983157	20140018Kumamoto/2014
AB983158	20140023Kumamoto/2014
AF009522	7234-AK-87
AF009523	7962-PA-87
AF009524	7968-PA-87
AF009525	1410-CA-86
AF009526	8102-WA-87
AF009527	1413-CA-87
AF009528	1061-TN-87
AF009529	4827-CT-83
AF009530	7628-PA-87
AF009531	7629-PA-87
AF009532	7630-PA-87
AF009533	7631-PA-87
AF009534	7633-PA-87
AF009535	7673-CT-87
AF009536	8209-MD-87
AF009537	8279-PA-87
AF009538	3984-OH-82
AF009539	2219-IA-87
AF009540	2222-IA-88
AF009541	2245-NY-87
AF009542	2246-NY-87
AF009543	2251-NY-93
AF009544	2253-NY-94
AF009545	2254-NY-94
AF009546	2264-CA-94
AF009547	0925-OR-91
AF009548	0926-OR-91
AF009549	0915-MA-87
AF009550	0916-MA-87
AF009551	1411-CA-90
AF009552	1919-NM-94
AF009553	1924-AZ-94
AF009554	2006-CT-94
AF009555	2007-CT-94
AF009556	2037-MD-95
AF009557	9541-TX-89
AF009558	9978-TX-89
AF009559	1873-CT-93
AF068885	Br-Cr
AF081600	CT94-2006
AF081616	MD95-2037
AF081624	NM94-1919
AF116805	TW/253/86
AF116806	TW/1334/98
AF116807	TW/1457/98
AF116808	TW/1499/98
AF116809	TW/1524/98
AF116810	TW/1567/98
AF116811	TW/1569/98
AF116812	TW/1657/98
AF116813	TW/1658/98
AF116814	TW/1465/98
AF116815	TW/1602/98
AF116816	TW/1743/98
AF116817	TW/1929/98
AF116818	TW/1933/98
AF116819	TW/2086/98
AF116820	TW/2418/98
AF116821	TW/2272/98
AF116822	TW/2276/98
AF117619	TW/1334/98
AF117620	TW/1457/98
AF117621	TW/1465/98
AF117622	TW/1499/98
AF117623	TW/1524/98
AF117624	TW/1567/98
AF117625	TW/1569/98
AF117626	TW/1602/98
AF117627	TW/1657/98
AF117628	TW/1658/98
AF117629	TW/1743/98
AF117630	TW/1929/98
AF117631	TW/1933/98
AF117632	TW/2086/98
AF117633	TW/2272/98
AF117634	TW/2276/98
AF117635	TW/2418/98
AF119795	TW/2272/98
AF119796	TW/2086/98
AF135864	1011-ND-79
AF135865	10181-NM-78
AF135866	2114-TN-80
AF135867	2228-NY-72
AF135868	2229-NY-76
AF135869	2230-NY-76
AF135870	2231-NY-77
AF135871	2232-NY-77
AF135872	2234-NY-77
