accession	strain
KT717837	12MC33_2012.07_XH
KT717838	12MC35_2012.07_XH
KT717839	12MG23_2012.07_GG
KT717840	12MG26_2012.07_GG
KT717841	12ME12_2012.07_TZ
KT717842	12MH69_2012.08_TZ
KT717843	12MG28_2012.08_GG
KT717844	12MJ41_2012.09_TX
KT717845	12MG31_2012.10_GG
KT717846	12MC39_2012.08_XH
KT717847	12MG33_2012.10_GG
KT717848	12MH72_2012.10_TZ
KT717849	12MG37_2012.11_GG
KT717850	12MG36_2012.11_GG
KT717851	12MF80_2012.12_JJ
KT717852	12MJ56_2012.12_TX
KT717853	12MJ59_2012.12_TX
KT717854	12MJ60_2012.12_TX
KT717855	12MC36_2012.08_XH
KT717856	13MF12_2013.03_JJ
KT717857	13MF13_2013.03_JJ
KT717858	13MG13_2013.03_GG
KT717859	13MEJ3_2013.04_TZ
KT717860	13MJ24_2013.05_TX
KT717861	13MM22_2013.05_JY
KT717862	13MM25_2013.05_JY
KT717863	13MA230_2013.05_TZ
KT717864	13MG21_2013.05_GG
KT717865	13MM21_2013.05_JY
KT717866	13MH10_2013.05_TZ
KT717867	13MA226_2013.05_TZ
KT717868	13MH13_2013.05_TZ
KT717869	13MA228_2013.05_TZ
KT717870	13MA227_2013.05_TZ
KT717871	13MA225_2013.05_TZ
KT717872	13MA231_2013.06_TZ
KT717873	13MA233_2013.07_TZ
KT717874	13MA236_2013.07_TZ
KT717875	13MA232_2013.07_TZ
KT717876	13MF35_2013.07_JJ
KT717877	13MJ29_2013.06_TX
KT717878	13MA246_2013.09_TZ
KT717879	13MG26_2013.06_GG
KT717880	13MM31_2013.07_JY
KT717881	13MG28_2013.06_GG
KT717882	13MD14_2013.06_TZ
KT717883	13MJ44_2013.09_TX
KT717884	13MC55_2013.10_XH
KT717885	13MG46_2013.11_GG
KT717886	13MA242_2013.08_TZ
KT818793	SEN14_157
KT818794	MAU14_250
KT818795	GUI13_365
KT818796	NIG13_194
KT834994	PR4536/ITA/2014
KT834995	PR4596/ITA/2014
KT834996	PR4597/ITA/2014
KT834997	PR4620/ITA/2014
KT908004	MY-3898-12
KT908005	MY-8352-12
KT908006	MY-5105-12
KT908007	MY-5313-12
KT908008	MY-5390-12
KT908009	MY-4703-12
KT908010	MY-4285-12
KT908011	MY-9836-12
KT908012	MY-6937-12
KT908013	MY-0757-12
KT908014	MY-6407-13
KT908026	MY-3898-12
KT908027	MY-2949-12
KT908028	MY-8352-12
KT908029	MY-5105-12
KT908030	MY-5313-12
KT908031	MY-5390-12
KT908032	MY-4703-12
KT908033	MY-4285-12
KT908034	MY-9836-12
KT908035	MY-6937-12
KT908036	MY-0757-12
KT908037	MY-6407-13
KT985001	13HF119/QD/2013/EV71
KT985002	13HF121/QD/2013/EV71
KT985003	13HF122/QD/2013/EV71
KT985004	13HF54/QD/2013/EV71
KT985005	13HS117/QD/2013/EV71
KT985006	13HS15/QD/2013/EV71
KT985007	13HS8/QD/2013/EV71
KU133624	391-CSF/EV71/RUS/Omsk/2013
KU133644	434-CSF/EV71/RUS/Omsk/2013
KU133645	437-CSF/EV71/RUS/Omsk/2013
KU133651	450-CSF/EV71/RUS/Omsk/2013
KU133652	451-CSF/EV71/RUS/Omsk/2013
KU159434	C4-ND-114_Vietnam:CaMau_2012-04-15
KU159435	C4-ND-137_Vietnam:VungTau_2012-05-20
KU159436	C4-ND-150_Vietnam:DongThap_2012-07-05
KU159437	C4-ND-152_Vietnam:VinhLong_2012-07-16
KU159438	C4-ND-153_Vietnam:HoChiMinh_2012-07-23
KU159439	C4-ND-158_Vietnam:BenTre_2012-08-04
KU159440	C4-ND-171_Vietnam:BinhDuong_2012-02-18
KU159441	C4-ND-198_Vietnam:HoChiMinh_2012-03-21
KU159442	C4-ND-200_Vietnam:HoChiMinh_2012-03-28
KU159443	C4-ND-02_Vietnam:Hanoi_2012-01-02
KU159444	B5-ND-03_Vietnam:Hanoi_2012-01-08
KU159445	B5-ND-04_Vietnam:Hanoi_2012-01-10
KU159446	B5-ND-05_Vietnam:BacGiang_2012-01-11
KU159447	C4-ND-07_Vietnam:Hanoi_2012-01-31
KU159448	C4-ND-08_Vietnam:BacNinh_2012-02-01
KU159449	B5-ND-09_Vietnam:Hanoi_2012-02-01
KU159450	C4-ND-10_Vietnam:Hanoi_2012-01-16
KU159451	B5-ND-12_Vietnam:HungYen_2012-02-13
KU159452	C4-ND-14_Vietnam:Hanoi_2012-01-13
KU159453	C4-ND-15_Vietnam:Hanoi_2012-02-15
KU159454	B5-ND-17_Vietnam:Hanoi_2012-02-15
KU159455	C4-ND-18_Vietnam:Hanoi_2012-02-14
KU159456	C4-ND-20_Vietnam:VinhPhuc_2012-02-18
KU159457	C4-ND-21_Vietnam:HungYen_2012-02-22
KU159458	C4-ND-22_Vietnam:BacNinh_2012-02-24
KU159459	C4-ND-27_Vietnam:LongAn_2012-01-15
KU159460	C4-ND-31_Vietnam:BacLieu_2012-01-31
KU159461	C4-ND-37_Vietnam:BacLieu_2012-02-19
KU159462	C4-ND-40_Vietnam:AnGiang_2012-01-05
KU159463	C4-ND-41_Vietnam:HoChiMinh_2012-02-23
KU159464	C4-ND-46_Vietnam:DongThap_2012-03-05
KU159465	C4-ND-50_Vietnam:HoChiMinh_2012-03-05
KU159466	C4-ND-52_Vietnam:DongThap_2012-03-08
KU159467	C4-ND-54_Vietnam:HoChiMinh_2012-03-09
KU159468	C4-ND-55_Vietnam:BinhPhuoc_2012-03-12
KU159469	C4-ND-58_Vietnam:DongThap_2012-02-11
KU159470	C4-ND-60_Vietnam:AnGiang_2012-03-09
KU159471	C4-ND-62_Vietnam:HoChiMinh_2012-04-05
KU159472	C4-ND-63_Vietnam:HoChiMinh_2012-04-10
KU159473	C4-ND-83_Vietnam:AnGiang_2012-06-20
KU159474	C4-ND-84_Vietnam:AnGiang_2012-06-24
KU159475	C4-ND-86_Vietnam:DongThap_2012-06-21
KU159476	C4-ND-89_Vietnam:HoChiMinh_2012-02-23
KU159477	C4-ND-92_Vietnam:LongAn_2012-03-27
KU159478	C4-ND-93_Vietnam:TayNinh_2012-03-26
KU159479	C4-ND-94_Vietnam:AnGiang_2012-03-29
KU159480	C4-ND-96_Vietnam:TayNinh_2012-04-01
KU159481	C4-ND-97_Vietnam:LongAn_2012-03-31
KU159482	C5-ND-98_Vietnam:TayNinh_2012-03-30
KU159483	C4-ND-100_Vietnam:TienGiang_2012-04-03
KU159484	C4-ND-101_Vietnam:LongAn_2012-04-05
KU159485	C4-ND-106_Vietnam:TraVinh_2012-04-09
KU159486	C4-ND-107_Vietnam:TienGiang_2012-04-12
KU159487	C4-ND-109_Vietnam:DongThap_2012-04-11
KU159488	C4-ND-113_Vietnam:LongAn_2012-04-15
KU159489	C4-ND-116_Vietnam:LongAn_2012-04-20
KU159490	C4-ND-118_Vietnam:TraVinh_2012-04-22
KU159491	C4-ND-121_Vietnam:TienGiang_2012-04-24
KU159492	C4-ND-123_Vietnam:BacLieu_2012-04-23
KU159493	B5-ND-124_Vietnam:TayNinh_2012-04-20
KU159494	C4-ND-125_Vietnam:LongAn_2012-05-01
KU159495	C4-ND-126_Vietnam:BacGiang_2012-05-03
KU159496	C4-ND-127_Vietnam:TayNinh_2012-05-23
KU159497	C4-ND-128_Vietnam:AnGiang_2012-02-09
KU159498	C4-ND-131_Vietnam:HoChiMinh_2012-05-09
KU159499	C4-ND-132_Vietnam:LongAn_2012-05-14
KU159500	C4-ND-133_Vietnam:LongAn_2012-05-14
KU159501	C4-ND-134_Vietnam:TayNinh_2012-05-14
KU159502	C4-ND-136_Vietnam:LongAn_2012-05-16
KU159503	C4-ND-138_Vietnam:BinhThuan_2012-05-20
KU159504	C4-ND-140_Vietnam:HoChiMinh_2012-05-21
KU159505	C4-ND-142_Vietnam:KienGiang_2012-05-23
KU159506	C4-ND-144_Vietnam:TienGiang_2012-05-26
KU159507	C4-ND-146_Vietnam:HoChiMinh_2012-05-26
KU159508	C4-ND-147_Vietnam:TienGiang_2012-06-04
KU159509	C4-ND-151_Vietnam:HoChiMinh_2012-11-14
KU159510	C4-ND-159_Vietnam:HoChiMinh_2012-08-07
KU159511	B5-ND-160_Vietnam:CaMau_2012-08-08
KU159512	C4-ND-169_Vietnam:DongThap_2012-02-16
KU159513	C4-ND-172_Vietnam:HoChiMinh_2012-09-19
KU159514	C4-ND-173_Vietnam:HoChiMinh_2012-02-22
KU159515	C4-ND-174_Vietnam:HoChiMinh_2012-03-05
KU159516	C4-ND-175_Vietnam:HoChiMinh_2012-03-06
KU159517	C4-ND-177_Vietnam:BinhDuong_2012-02-12
KU159518	C4-ND-178_Vietnam:HoChiMinh_2012-07-17
KU159519	C4-ND-179_Vietnam:HoChiMinh_2012-04-04
KU159520	C4-ND-181_Vietnam:HoChiMinh_2012-04-12
KU189252	2239/PL28/2013
KU254595	BJ14-1
KU254596	BJ14-2
KU376383	15XCHFM-2
KU376384	15XCHFM-13
KU376385	15XCHFM-35
KU376386	15XCHFM-36
KU376387	15XCHFM-102
KU376388	15XCHFM-155
KU560923	EV_NL_239
KU560924	EV_NL_242
KU560925	EV_NL_312
KU574619	EV-A71/PMKA1300/THA/2011
KU578264	05/SHENZHEN/12/China/HFMD severe/2012
KU578265	08/SHENZHEN/12/China/HFMD fatal/2012
KU578266	09/SHENZHEN/12/China/HFMD severe/2012
KU578267	12/SHENZHEN/12/China/HFMD severe/2012
KU578268	13/SHENZHEN/12/China/HFMD severe/2012
KU578269	228/SHENZHEN/12/China/HFMD mild/2012
KU578270	230/SHENZHEN/12/China/HFMD mild/2012
KU578271	541/SHENZHEN/12/China/HFMD mild/2012
KU578272	436/SHENZHEN/12/China/HFMD mild/2012
KU578273	220/SHENZHEN/12/China/HFMD mild/2012
KU595714	EV71/FJFZ008/CHN/2010
KU595715	EV71/FJFZ010/CHN/2010
KU595716	EV71/FJFZ013/CHN/2010
KU595717	EV71/FJFZ090/CHN/2010
KU595718	EV71/FJFZ091/CHN/2010
KU595719	EV71/FJFZ092/CHN/2010
KU595720	EV71/FJFZ097/CHN/2010
KU595721	EV71/FJXM001/CHN/2010
KU595722	EV71/FJXM002/CHN/2010
KU595723	EV71/FJXM003/CHN/2010
KU595724	EV71/FJXM009/CHN/2010
KU595725	EV71/FJXM011/CHN/2010
KU595726	EV71/FJXM012/CHN/2010
KU595727	EV71/FJPT003/CHN/2010
KU595728	EV71/FJPT010/CHN/2010
KU595729	EV71/FJPT011/CHN/2010
KU595730	EV71/FJPT012/CHN/2010
KU595731	EV71/FJSM001/CHN/2010
KU595732	EV71/FJSM006/CHN/2010
KU595733	EV71/FJSM008/CHN/2010
KU595734	EV71/FJSM009/CHN/2010
KU595735	EV71/FJSM012/CHN/2010
KU595736	EV71/FJQZ018/CHN/2010
KU595737	EV71/FJQZ023/CHN/2010
KU595738	EV71/FJQZ025/CHN/2010
KU595739	EV71/FJQZ029/CHN/2010
KU595740	EV71/FJQZ033/CHN/2010
KU595741	EV71/FJQZ040/CHN/2010
KU595742	EV71/FJZZ002/CHN/2010
KU595743	EV71/FJZZ005/CHN/2010
KU595744	EV71/FJZZ008/CHN/2010
KU595745	EV71/FJZZ010/CHN/2010
KU595746	EV71/FJZZ014/CHN/2010
KU595747	EV71/FJNP007/CHN/2010
KU595748	EV71/FJNP011/CHN/2010
KU595749	EV71/FJNP020/CHN/2010
KU595750	EV71/FJNP021/CHN/2010
KU595751	EV71/FJLY001/CHN/2010
KU595752	EV71/FJLY003/CHN/2010
KU595753	EV71/FJLY005/CHN/2010
KU595754	EV71/FJLY008/CHN/2010
KU595755	EV71/FJND001/CHN/2010
KU595756	EV71/FJND002/CHN/2010
KU595757	EV71/FJND003/CHN/2010
KU595758	EV71/FJFZ050/CHN/2011
KU595759	EV71/FJFZ053/CHN/2011
KU595760	EV71/FJFZ058/CHN/2011
KU595761	EV71/FJFZ066/CHN/2011
KU595762	EV71/FJXM010/CHN/2011
KU595763	EV71/FJXM028/CHN/2011
KU595764	EV71/FJXM033/CHN/2011
KU595765	EV71/FJPT004/CHN/2011
KU595766	EV71/FJPT005/CHN/2011
KU595767	EV71/FJSM004/CHN/2011
KU595768	EV71/FJQZ001/CHN/2011
KU595769	EV71/FJQZ009/CHN/2011
KU595770	EV71/FJQZ013/CHN/2011
KU595771	EV71/FJZZ024/CHN/2011
KU595772	EV71/FJNP023/CHN/2011
KU595773	EV71/FJLY005/CHN/2011
KU595774	EV71/FJLY010/CHN/2011
KU595775	EV71/FJLY011/CHN/2011
KU595776	EV71/FJLY016/CHN/2011
KU595777	EV71/FJND010/CHN/2011
KU595778	EV71/FJND015/CHN/2011
KU595779	EV71/FJND019/CHN/2011
KU595780	EV71/FJND056/CHN/2011
KU595781	EV71/FJNP026/CHN/2011
KU595782	EV71/FJFZ106/CHN/2011
KU595783	EV71/FJNP027/CHN/2011
KU595784	EV71/FJQZ034/CHN/2011
KU595785	EV71/FJQZ142/CHN/2011
KU595786	EV71/FJQZ101/CHN/2011
KU595787	EV71/FJSM013/CHN/2011
KU595788	EV71/FJFZ001/CHN/2012
KU595789	EV71/FJFZ011/CHN/2012
KU595790	EV71/FJFZ013/CHN/2012
KU595791	EV71/FJFZ059/CHN/2012
KU595792	EV71/FJFZ097/CHN/2012
KU595793	EV71/FJXM032/CHN/2012
KU595794	EV71/FJXM033/CHN/2012
KU595795	EV71/FJXM048/CHN/2012
KU595796	EV71/FJXM051/CHN/2012
KU595797	EV71/FJPT040/CHN/2012
KU595798	EV71/FJSM003/CHN/2012
KU595799	EV71/FJSM005/CHN/2012
KU595800	EV71/FJSM009/CHN/2012
KU595801	EV71/FJSM032/CHN/2012
KU595802	EV71/FJSM057/CHN/2012
KU595803	EV71/FJSM062/CHN/2012
KU595804	EV71/FJQZ001/CHN/2012
KU595805	EV71/FJQZ002/CHN/2012
KU595806	EV71/FJQZ003/CHN/2012
KU595807	EV71/FJQZ005/CHN/2012
KU595808	EV71/FJQZ011/CHN/2012
KU595809	EV71/FJQZ015/CHN/2012
KU595810	EV71/FJQZ067/CHN/2012
KU595811	EV71/FJQZ103/CHN/2012
KU595812	EV71/FJZZ001/CHN/2012
KU595813	EV71/FJZZ002/CHN/2012
KU595814	EV71/FJNP002/CHN/2012
KU595815	EV71/FJNP007/CHN/2012
KU595816	EV71/FJNP013/CHN/2012
KU595817	EV71/FJNP017/CHN/2012
KU595818	EV71/FJLY002/CHN/2012
KU595819	EV71/FJLY004/CHN/2012
KU595820	EV71/FJLY008/CHN/2012
KU595821	EV71/FJLY012/CHN/2012
KU595822	EV71/FJND003/CHN/2012
KU595823	EV71/FJND011/CHN/2012
KU595824	EV71/FJND015/CHN/2012
KU595825	EV71/FJND017/CHN/2012
KU595826	EV71/FJPTN002/CHN/2012
KU595827	EV71/FJPTN005/CHN/2012
KU595828	EV71/FJPT011/CHN/2012
KU595829	EV71/FJZZ008/CHN/2012
KU595830	EV71/FJPT013/CHN/2012
KU595831	EV71/FJFZ001/CHN/2013
KU595832	EV71/FJFZ004/CHN/2013
KU595833	EV71/FJFZ033/CHN/2013
KU595834	EV71/FJLY012/CHN/2013
KU595835	EV71/FJLY095/CHN/2013
KU595836	EV71/FJND011/CHN/2013
KU595837	EV71/FJND157/CHN/2013
KU595838	EV71/FJNP005/CHN/2013
KU595839	EV71/FJNP265/CHN/2013
KU595840	EV71/FJNP310/CHN/2013
KU595841	EV71/FJNP325/CHN/2013
KU595842	EV71/FJNP417/CHN/2013
KU595843	EV71/FJPT16G/CHN/2013
KU595844	EV71/FJPT052/CHN/2013
KU595845	EV71/FJPT068/CHN/2013
KU595846	EV71/FJPT086/CHN/2013
KU595847	EV71/FJPT91G/CHN/2013
KU595848	EV71/FJPT206/CHN/2013
KU595849	EV71/FJQZ410/CHN/2013
KU595850	EV71/FJSM086/CHN/2013
KU595851	EV71/FJSM342/CHN/2013
KU595852	EV71/FJXM293/CHN/2013
KU595853	EV71/FJZZ315/CHN/2013
KU595854	EV71/FJZZ463/CHN/2013
KU595855	EV71/FJFZ175/CHN/2013
KU595856	EV71/FJLY062/CHN/2013
KU595857	EV71/FJND224/CHN/2013
KU595858	EV71/FJQZ101/CHN/2013
KU595859	EV71/FJQZ133/CHN/2013
KU595860	EV71/FJZZ044/CHN/2013
KU595861	EV71/FJFZ173/CHN/2014
KU595862	EV71/FJFZ282/CHN/2014
KU595863	EV71/FJFZ569/CHN/2014
KU595864	EV71/FJFZ587/CHN/2014
KU595865	EV71/FJFZ365/CHN/2014
KU595866	EV71/FJLY180/CHN/2014
KU595867	EV71/FJLY130/CHN/2014
KU595868	EV71/FJLY306/CHN/2014
KU595869	EV71/FJLY310/CHN/2014
KU595870	EV71/FJNP342/CHN/2014
KU595871	EV71/FJNP398/CHN/2014
KU595872	EV71/FJNP108/CHN/2014
KU595873	EV71/FJNP214/CHN/2014
KU595874	EV71/FJPT035G/CHN/2014
KU595875	EV71/FJPT071G/CHN/2014
KU595876	EV71/FJPT077G/CHN/2014
KU595877	EV71/FJPT096/CHN/2014
KU595878	EV71/FJPT102G/CHN/2014
KU595879	EV71/FJPT003G/CHN/2014
KU595880	EV71/FJPTN036/CHN/2014
KU595881	EV71/FJQZ259/CHN/2014
KU595882	EV71/FJQZ317/CHN/2014
KU595883	EV71/FJQZ338/CHN/2014
KU595884	EV71/FJQZ342/CHN/2014
KU595885	EV71/FJQZ343/CHN/2014
KU595886	EV71/FJSM410/CHN/2014
KU595887	EV71/FJSM048/CHN/2014
KU595888	EV71/FJXM334/CHN/2014
KU595889	EV71/FJXM409/CHN/2014
KU595890	EV71/FJXM427/CHN/2014
KU595891	EV71/FJZZ476/CHN/2014
KU595892	EV71/FJZZ016/CHN/2014
KU595893	EV71/FJQZ230/CHN/2015
KU595894	EV71/FJQZ227/CHN/2015
KU595895	EV71/FJQZ224/CHN/2015
KU595896	EV71/FJQZ190/CHN/2015
KU595897	EV71/FJQZ185/CHN/2015
KU595898	EV71/FJQZ183/CHN/2015
KU595899	EV71/FJQZ105/CHN/2015
KU595900	EV71/FJQZ088/CHN/2015
KU595901	EV71/FJQZ003/CHN/2015
KU595902	EV71/FJPTN027/CHN/2015
KU595903	EV71/FJPT063/CHN/2015
KU595904	EV71/FJPT040/CHN/2015
KU595905	EV71/FJPT029/CHN/2015
KU595906	EV71/FJPT020/CHN/2015
KU595907	EV71/FJPT008/CHN/2015
KU595908	EV71/FJPT005/CHN/2015
KU595909	EV71/FJPT003/CHN/2015
KU595910	EV71/FJNP168/CHN/2015
KU595911	EV71/FJNP151/CHN/2015
KU595912	EV71/FJNP065/CHN/2015
KU595913	EV71/FJNP007/CHN/2015
KU595914	EV71/FJND082/CHN/2015
KU595915	EV71/FJND059/CHN/2015
KU595916	EV71/FJND028/CHN/2015
KU595917	EV71/FJLY070/CHN/2015
KU595918	EV71/FJLY069/CHN/2015
KU595919	EV71/FJLY064/CHN/2015
KU595920	EV71/FJLY055/CHN/2015
KU595921	EV71/FJFZ543/CHN/2015
KU595922	EV71/FJFZ536/CHN/2015
KU595923	EV71/FJFZ524/CHN/2015
KU595924	EV71/FJFZ523/CHN/2015
KU595925	EV71/FJFZ495/CHN/2015
KU595926	EV71/FJFZ494/CHN/2015
KU595927	EV71/FJFZ492/CHN/2015
KU595928	EV71/FJFZ489/CHN/2015
KU595929	EV71/FJFZ471/CHN/2015
KU595930	EV71/FJFZ466/CHN/2015
KU595931	EV71/FJFZ424/CHN/2015
KU595932	EV71/FJFZ422/CHN/2015
KU595933	EV71/FJFZ421/CHN/2015
KU595934	EV71/FJFZ383/CHN/2015
KU595935	EV71/FJFZ334/CHN/2015
KU595936	EV71/FJFZ333/CHN/2015
KU595937	EV71/FJFZ332/CHN/2015
KU595938	EV71/FJFZ331/CHN/2015
KU595939	EV71/FJFZ308/CHN/2015
KU595940	EV71/FJFZ305/CHN/2015
KU595941	EV71/FJFZ303/CHN/2015
KU595942	EV71/FJFZ294/CHN/2015
KU595943	EV71/FJFZ259/CHN/2015
KU595944	EV71/FJFZ232/CHN/2015
KU595945	EV71/FJFZ228/CHN/2015
KU595946	EV71/FJFZ215/CHN/2015
KU595947	EV71/FJFZ197/CHN/2015
KU595948	EV71/FJFZ042/CHN/2015
KU595949	EV71/FJZZ124/CHN/2015
KU595950	EV71/FJZZ123/CHN/2015
KU595951	EV71/FJZZ078/CHN/2015
KU595952	EV71/FJZZ077/CHN/2015
KU595953	EV71/FJXM074/CHN/2015
KU595954	EV71/FJXM028/CHN/2015
KU595955	EV71/FJXM009/CHN/2015
KU595956	EV71/FJXM008/CHN/2015
KU595957	EV71/FJQZ246/CHN/2015
KU641487	15339/BW/DE 2011
KU641488	40648/BB/DE 2013
KU641489	22784/BB/DE 2013
KU641490	43232/BB/DE 2015
KU641491	45893/BE/DE 2015
KU641492	38474/BE/DE 2015
KU641493	45903/BE/DE 2015
KU641494	46440/BE/DE 2015
KU641495	45900/BE/DE 2015
KU641496	992990/NI/DE 2015
KU641497	45906/BE/DE 2015
KU641498	992879/NI/DE 2015
KU641499	47159/BE/DE 2015
KU641500	45841/BE/DE 2015
KU641501	37507/TH/DE 2015
KU641502	45849/BE/DE 2015
KU641503	45894/BE/DE 2015
KU641504	44930/BE/DE 2015
KU641505	43538/MV/DE 2015
KU641506	44932/BE/DE 2015
KU641507	44172/RP/DE 2015
KU641508	46411/NW/DE 2015
KU645333	IRL_CORK_2015_21
KU645334	IRL_DUB1_2015_21
KU645335	IRL_CORK_2015_21_2
KU645336	IRL_SLIG_2014_34
KU645337	IRL_DUB12_2014_29
KU645338	IRL_LIMER_2011_10
KU647000	CQ2014-86
KU697333	C2/1721
KU697334	C2/2503
KU697335	75-Yamagata-03
KU697336	C5/209-VN
KU710722	BJ14-2
KU710723	BJ14-6
KU710724	BJ14-8
KU710725	BJ14-10
KU710726	BJ14-12
KU710727	BJ14-14
KU710728	BJ14-16
KU710729	BJ14-18
KU710730	BJ14-1
KU710731	BJ14-5
KU710732	BJ14-7
KU710733	BJ14-9
KU710734	BJ14-11
KU710735	BJ14-13
KU710736	BJ14-15
KU710737	BJ14-17
KU710738	BJ14-19
KU710739	BJ14-21
KU710740	BJ14-23
KU710741	BJ14-2
KU710742	BJ14-6
KU710743	BJ14-8
KU710744	BJ14-10
KU710745	BJ14-12
KU710746	BJ14-14
KU710747	BJ14-16
KU710748	BJ14-18
KU710749	BJ14-1
KU710750	BJ14-5
KU710751	BJ14-7
KU710752	BJ14-9
KU710753	BJ14-11
KU710754	BJ14-13
KU710755	BJ14-15
KU710756	BJ14-17
KU710757	BJ14-19
KU710758	BJ14-21
KU710759	BJ14-23
KU726099	614-2014-Henan
KU726100	972-2014-Henan
KU726101	62-2014-Henan
KU726102	88-2014-Henan
KU726103	94-2014-Henan
KU726104	97-2014-Henan
KU726105	98-2014-Henan
KU726106	119-2014-Henan
KU726107	123-2014-Henan
KU726108	143-2014-Henan
KU726109	145-2014-Henan
KU726110	150-2014-Henan
KU726111	151-2014-Henan
KU726112	153-2014-Henan
KU726113	157-2014-Henan
KU726114	158-2014-Henan
KU726115	172-2014-Henan
KU726116	217-2014-Henan
KU726117	241-2014-Henan
KU726118	242-2014-Henan
KU726119	243-2014-Henan
KU726120	247-2014-Henan
KU726121	248-2014-Henan
KU726122	267-2014-Henan
KU726123	268-2014-Henan
KU726124	280-2014-Henan
KU726125	294-2014-Henan
KU726126	311-2014-Henan
KU726127	317-2014-Henan
KU726128	318-2014-Henan
KU726129	327-2014-Henan
KU726130	332-2014-Henan
KU726131	345-2014-Henan
KU726132	372-2014-Henan
KU726133	379-2014-Henan
KU726134	428-2014-Henan
KU726135	433-2014-Henan
KU726136	462-2014-Henan
KU726137	467-2014-Henan
KU726138	493-2014-Henan
KU726139	498-2014-Henan
KU726140	398-2014-Henan
KU726141	501-2014-Henan
KU726142	502-2014-Henan
KU726143	505-2014-Henan
KU726144	565-2014-Henan
KU726145	576-2014-Henan
KU726146	583-2014-Henan
KU726147	588-2014-Henan
KU726148	667-2014-Henan
KU726149	700-2014-Henan
KU726150	701-2014-Henan
KU726151	784-2014-Henan
KU726152	841-2014-Henan
KU726153	842-2014-Henan
KU726154	843-2014-Henan
KU726155	850-2014-Henan
KU726156	852-2014-Henan
KU726157	853-2014-Henan
KU726158	854-2014-Henan
KU726159	859-2014-Henan
KU726160	860-2014-Henan
KU726161	861-2014-Henan
KU726162	863-2014-Henan
KU726163	1054-2014-Henan
KU726164	1055-2014-Henan
KU726165	1058-2014-Henan
KU726166	1073-2014-Henan
KU726167	1074-2014-Henan
KU726168	1075-2014-Henan
KU726169	1090-2014-Henan
KU726170	1097-2014-Henan
KU726171	1099-2014-Henan
KU726172	1115-2014-Henan
KU726173	1116-2014-Henan
KU726174	1119-2014-Henan
KU726175	1127-2014-Henan
KU726176	1142-2014-Henan
KU726177	1143-2014-Henan
KU726178	1144-2014-Henan
KU726179	1150-2014-Henan
KU726180	405-2014-Henan
KU726181	407-2014-Henan
KU726182	408-2014-Henan
KU726183	413-2014-Henan
KU726184	414-2014-Henan
KU726185	538-2014-Henan
KU726186	545-2014-Henan
KU726187	561-2014-Henan
KU726188	563-2014-Henan
KU726189	566-2014-Henan
KU726190	568-2014-Henan
KU726191	590-2014-Henan
KU726192	877-2014-Henan
KU726193	878-2014-Henan
KU726194	970-2014-Henan
KU726195	983-2014-Henan
KU726196	985-2014-Henan
KU726197	987-2014-Henan
KU726198	990-2014-Henan
KU726199	992-2014-Henan
KU726200	977-2014-Henan
KU726201	1000-2014-Henan
KU726202	1005-2014-Henan
KU726203	1016-2014-Henan
KU726204	1187-2014-Henan
KU726205	1188-2014-Henan
KU726206	1214-2014-Henan
KU726207	1222-2014-Henan
KU726208	1230-2014-Henan
KU726209	1231-2014-Henan
KU726210	1238-2014-Henan
KU726211	1252-2014-Henan
KU726212	1272-2014-Henan
KU726213	1275-2014-Henan
KU726214	1279-2014-Henan
KU726215	1324-2014-Henan
KU726216	1342-2014-Henan
KU726217	1350-2014-Henan
KU726218	1351-2014-Henan
KU726219	1383-2014-Henan
KU726220	1384-2014-Henan
KU726221	1385-2014-Henan
KU726222	1398-2014-Henan
KU726223	1401-2014-Henan
KU726224	1404-2014-Henan
KU726225	1419-2014-Henan
KU726226	1425-2014-Henan
KU726227	1441-2014-Henan
KU726228	1442-2014-Henan
KU726229	1450-2014-Henan
KU744442	1-2015-Henan
KU744443	2-2015-Henan
KU744444	13-2015-Henan
KU744445	20-2015-Henan
KU744446	25-2015-Henan
KU744447	53-2015-Henan
KU744448	54-2015-Henan
KU744449	59-2015-Henan
KU744450	67-2015-Henan
KU744451	68-2015-Henan
KU744452	69-2015-Henan
KU744453	78-2015-Henan
KU744454	79-2015-Henan
KU744455	83-2015-Henan
KU748627	HFMD-22
KU748628	HFMD-31
KU748629	HFMD-5
KU748630	HFMD-38
KU748631	HFMD-14
KU748632	HFMD-74
KU887762	C5-004-2006_Vietnam:KienGiang_2006-02-15
KU887763	C4-006TS-2012_Vietnam:AnGiang_2011-12-22
KU887764	C5-010-2006_Vietnam:NinhThuan_2006-03-15
KU887765	C5-012S-2009_Vietnam:HoChiMinh_2009-04-10
KU887766	C5-013S-2009_Vietnam:BinhDuong_2009-04-15
KU887767	C5-016TS-2009_Vietnam:HoChiMinh_2009-04-16
KU887768	C5-017-2006_Vietnam:NinhThuan_2006-03-15
KU887769	C5-020TS-2009_Vietnam:BinhDuong_2009-04-17
KU887770	C5-022-2006_Vietnam:NinhThuan_2006-03-15
KU887771	C5-024-2006_Vietnam:NinhThuan_2006-03-15
KU887772	C4-025-2006_Vietnam:TienGiang_2006-03-15
KU887773	C5-026-2006_Vietnam:NinhThuan_2006-03-15
KU887774	C5-027S-2009_Vietnam:BinhDuong_2009-04-22
